gembase_name	orig_name	to_annotate	gsize	nb_conts	L90
PHIN.0723.00011	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142715.1_ASM2514271v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142715.1_ASM2514271v1_genomic.fna_prepare-split5N.fna	4163548	4	1
PHIN.0723.00012	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143215.1_ASM2514321v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143215.1_ASM2514321v1_genomic.fna_prepare-split5N.fna	4114628	4	1
PHIN.0723.00013	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892265.1_ASM289226v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892265.1_ASM289226v1_genomic.fna_prepare-split5N.fna	4109120	4	1
PHIN.0723.00014	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892005.1_ASM289200v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892005.1_ASM289200v1_genomic.fna_prepare-split5N.fna	4021447	5	1
PHIN.0723.00015	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143665.1_ASM2514366v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143665.1_ASM2514366v1_genomic.fna_prepare-split5N.fna	4202636	6	1
PHIN.0723.00016	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142595.1_ASM2514259v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142595.1_ASM2514259v1_genomic.fna_prepare-split5N.fna	4314694	5	2
PHIN.0723.00017	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142735.1_ASM2514273v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142735.1_ASM2514273v1_genomic.fna_prepare-split5N.fna	4244751	5	2
PHIN.0723.00018	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143105.1_ASM2514310v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143105.1_ASM2514310v1_genomic.fna_prepare-split5N.fna	4283941	5	2
PHIN.0723.00019	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142775.1_ASM2514277v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142775.1_ASM2514277v1_genomic.fna_prepare-split5N.fna	4314012	5	2
PHIN.0723.00020	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_001969345.1_ASM196934v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_001969345.1_ASM196934v1_genomic.fna_prepare-split5N.fna	4291376	5	2
PHIN.0723.00021	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142695.1_ASM2514269v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142695.1_ASM2514269v1_genomic.fna_prepare-split5N.fna	4281685	5	2
PHIN.0723.00022	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142755.1_ASM2514275v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142755.1_ASM2514275v1_genomic.fna_prepare-split5N.fna	4301253	5	2
PHIN.0723.00023	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142815.1_ASM2514281v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142815.1_ASM2514281v1_genomic.fna_prepare-split5N.fna	4402211	5	2
PHIN.0723.00024	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142855.1_ASM2514285v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025142855.1_ASM2514285v1_genomic.fna_prepare-split5N.fna	4301151	5	2
PHIN.0723.00025	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143325.1_ASM2514332v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143325.1_ASM2514332v1_genomic.fna_prepare-split5N.fna	4284518	5	2
PHIN.0723.00026	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143505.1_ASM2514350v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_025143505.1_ASM2514350v1_genomic.fna_prepare-split5N.fna	4266684	5	2
PHIN.0723.00027	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892185.1_ASM289218v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892185.1_ASM289218v1_genomic.fna_prepare-split5N.fna	4248079	6	2
PHIN.0723.00028	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892205.1_ASM289220v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892205.1_ASM289220v1_genomic.fna_prepare-split5N.fna	4320988	6	2
PHIN.0723.00029	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891945.1_ASM289194v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891945.1_ASM289194v1_genomic.fna_prepare-split5N.fna	4429187	6	2
PHIN.0723.00030	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891985.1_ASM289198v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891985.1_ASM289198v1_genomic.fna_prepare-split5N.fna	4124503	6	2
PHIN.0723.00031	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891965.1_ASM289196v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891965.1_ASM289196v1_genomic.fna_prepare-split5N.fna	4268701	7	2
PHIN.0723.00032	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892025.1_ASM289202v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892025.1_ASM289202v1_genomic.fna_prepare-split5N.fna	4479935	7	3
PHIN.0723.00033	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891665.1_ASM289166v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002891665.1_ASM289166v1_genomic.fna_prepare-split5N.fna	4398636	9	3
PHIN.0723.00034	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892065.1_ASM289206v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892065.1_ASM289206v1_genomic.fna_prepare-split5N.fna	4777546	10	4
PHIN.0723.00035	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892085.1_ASM289208v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892085.1_ASM289208v1_genomic.fna_prepare-split5N.fna	4844543	10	4
PHIN.0723.00036	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892145.1_ASM289214v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892145.1_ASM289214v1_genomic.fna_prepare-split5N.fna	4695825	11	4
PHIN.0723.00037	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892225.1_ASM289222v1_genomic.fna_prepare-split5N.fna	/data/marine_diseases_lab/jessica/src/phaeobacter_comparison_2023/panacota/QC_out/tmp_files/GCF_002892225.1_ASM289222v1_genomic.fna_prepare-split5N.fna	4648923	11	4
