#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M632","SAMN20717840","PRJNA753157","GCA_025142795.1","Complete",4.13911,59.7901,"chromosome:NZ_CP081240.1/CP081240.1; plasmid unnamed1:NZ_CP081241.1/CP081241.1; plasmid unnamed2:NZ_CP081242.1/CP081242.1",,3,3816,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/795/GCF_025142795.1_ASM2514279v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","S4Sm","SAMN35084613","PRJNA972640","GCA_030060455.1","Complete",4.38517,59.7305,"chromosome:NZ_CP125870.1/CP125870.1; plasmid p1:NZ_CP125871.1/CP125871.1; plasmid p2:NZ_CP125872.1/CP125872.1; plasmid p3:NZ_CP125873.1/CP125873.1",,4,4067,"2023-05-22T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/060/455/GCF_030060455.1_ASM3006045v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P66","SAMN03294485","PRJNA273596","GCA_002892065.1","Complete",4.77755,59.6585,"chromosome:NZ_CP010705.1/CP010705.1; plasmid pP66_a:NZ_CP010706.1/CP010706.1; plasmid pP66_b:NZ_CP010707.1/CP010707.1; plasmid pP66_c:NZ_CP010708.1/CP010708.1; plasmid pP66_d:NZ_CP010709.1/CP010709.1; plasmid pP66_e:NZ_CP010710.1/CP010710.1; plasmid pP66_f:NZ_CP010711.1/CP010711.1; plasmid pP66_g:NZ_CP010712.1/CP010712.1; plasmid pP66_h:NZ_CP010713.1/CP010713.1; plasmid pP66_i:NZ_CP010714.1/CP010714.1",,10,4481,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/065/GCF_002892065.1_ASM289206v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M647","SAMN20718543","PRJNA753157","GCA_025143505.1","Complete",4.26668,59.8807,"chromosome:NZ_CP081275.1/CP081275.1; plasmid unnamed1:NZ_CP081276.1/CP081276.1; plasmid unnamed2:NZ_CP081277.1/CP081277.1; plasmid unnamed3:NZ_CP081278.1/CP081278.1; plasmid unnamed4:NZ_CP081279.1/CP081279.1",,5,3945,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/505/GCF_025143505.1_ASM2514350v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","2.10","SAMN09780822","PRJNA485019","GCA_003443555.1","Complete",4.16091,59.8003,"chromosome:NZ_CP031952.1/CP031952.1; plasmid unnamed1:NZ_CP031953.1/CP031953.1; plasmid unnamed2:NZ_CP031954.1/CP031954.1; plasmid unnamed3:NZ_CP031955.1/CP031955.1",,4,3800,"2018-09-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/555/GCF_003443555.1_ASM344355v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P74","SAMN03294490","PRJNA273602","GCA_002892045.1","Complete",4.48161,59.8554,"chromosome:NZ_CP010661.1/CP010661.1; plasmid pP74_a:NZ_CP010662.1/CP010662.1; plasmid pP74_b:NZ_CP010663.1/CP010663.1; plasmid pP74_c:NZ_CP010664.1/CP010664.1; plasmid pP74_d:NZ_CP010665.1/CP010665.1; plasmid pP74_e:NZ_CP010666.1/CP010666.1; plasmid pP74_f:NZ_CP010667.1/CP010667.1",,7,4176,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/045/GCF_002892045.1_ASM289204v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P92","SAMN03294496","PRJNA273610","GCA_002892025.1","Complete",4.47994,59.8554,"chromosome:NZ_CP010610.1/CP010610.1; plasmid pP92_a:NZ_CP010611.1/CP010611.1; plasmid pP92_b:NZ_CP010612.1/CP010612.1; plasmid pP92_c:NZ_CP010613.1/CP010613.1; plasmid pP92_d:NZ_CP010614.1/CP010614.1; plasmid pP92_e:NZ_CP010615.1/CP010615.1; plasmid pP92_f:NZ_CP010616.1/CP010616.1",,7,4169,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/025/GCF_002892025.1_ASM289202v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P70","SAMN03294486","PRJNA273598","GCA_002892125.1","Complete",4.47993,59.8554,"chromosome:NZ_CP010749.1/CP010749.1; plasmid pP70_a:NZ_CP010750.1/CP010750.1; plasmid pP70_b:NZ_CP010751.1/CP010751.1; plasmid pP70_c:NZ_CP010752.1/CP010752.1; plasmid pP70_d:NZ_CP010753.1/CP010753.1; plasmid pP70_e:NZ_CP010754.1/CP010754.1; plasmid pP70_f:NZ_CP010755.1/CP010755.1",,7,4169,"2018-01-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/125/GCF_002892125.1_ASM289212v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M636","SAMN20718013","PRJNA753157","GCA_025143105.1","Complete",4.28394,59.891,"chromosome:NZ_CP081257.1/CP081257.1; plasmid unnamed1:NZ_CP081258.1/CP081258.1; plasmid unnamed2:NZ_CP081259.1/CP081259.1; plasmid unnamed3:NZ_CP081260.1/CP081260.1; plasmid unnamed4:NZ_CP081261.1/CP081261.1",,5,3913,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/105/GCF_025143105.1_ASM2514310v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M643","SAMN20718016","PRJNA753157","GCA_025143215.1","Complete",4.11463,59.8437,"chromosome:NZ_CP081262.1/CP081262.1; plasmid unnamed1:NZ_CP081263.1/CP081263.1; plasmid unnamed2:NZ_CP081264.1/CP081264.1; plasmid unnamed3:NZ_CP081265.1/CP081265.1",,4,3755,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/215/GCF_025143215.1_ASM2514321v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P48","SAMN03294474","PRJNA273587","GCA_002892265.1","Complete",4.10912,60.0141,"chromosome:NZ_CP010745.1/CP010745.1; plasmid pP48_a:NZ_CP010746.1/CP010746.1; plasmid pP48_b:NZ_CP010747.1/CP010747.1; plasmid pP48_c:NZ_CP010748.1/CP010748.1",,4,3809,"2018-01-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/265/GCF_002892265.1_ASM289226v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P59","SAMN03294478","PRJNA273592","GCA_002892165.1","Complete",4.10378,59.9217,"chromosome:NZ_CP010741.1/CP010741.1; plasmid pP59_a:NZ_CP010742.1/CP010742.1; plasmid pP59_b:NZ_CP010743.1/CP010743.1; plasmid pP59_c:NZ_CP010744.1/CP010744.1",,4,3753,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/165/GCF_002892165.1_ASM289216v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","DOK1-1","SAMN06234523","PRJNA361514","GCA_001969345.1","Complete",4.29138,59.558,"chromosome:NZ_CP019307.1/CP019307.1; plasmid pDOK1-1-1:NZ_CP019308.1/CP019308.1; plasmid pDOK1-1-2:NZ_CP019309.1/CP019309.1; plasmid pDOK1-1-3:NZ_CP019310.1/CP019310.1; plasmid pDOK1-1-4:NZ_CP019311.1/CP019311.1",,5,3900,"2017-01-23T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/345/GCF_001969345.1_ASM196934v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M635","SAMN20717985","PRJNA753157","GCA_025142855.1","Complete",4.30115,59.8465,"chromosome:NZ_CP081252.1/CP081252.1; plasmid unnamed1:NZ_CP081253.1/CP081253.1; plasmid unnamed2:NZ_CP081254.1/CP081254.1; plasmid unnamed3:NZ_CP081255.1/CP081255.1; plasmid unnamed4:NZ_CP081256.1/CP081256.1",,5,3952,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/855/GCF_025142855.1_ASM2514285v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M634","SAMN20717977","PRJNA753157","GCA_025142835.1","Complete",4.08915,59.9256,"chromosome:NZ_CP081248.1/CP081248.1; plasmid unnamed1:NZ_CP081249.1/CP081249.1; plasmid unnamed2:NZ_CP081250.1/CP081250.1; plasmid unnamed3:NZ_CP081251.1/CP081251.1",,4,3743,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/835/GCF_025142835.1_ASM2514283v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P24","SAMN03294470","PRJNA273582","GCA_002891665.1","Complete",4.39864,59.9343,"chromosome:NZ_CP010696.1/CP010696.1; plasmid pP24_a:NZ_CP010697.1/CP010697.1; plasmid pP24_b:NZ_CP010698.1/CP010698.1; plasmid pP24_c:NZ_CP010699.1/CP010699.1; plasmid pP24_d:NZ_CP010700.1/CP010700.1; plasmid pP24_e:NZ_CP010701.1/CP010701.1; plasmid pP24_f:NZ_CP010702.1/CP010702.1; plasmid pP24_g:NZ_CP010703.1/CP010703.1; plasmid pP24_h:NZ_CP010704.1/CP010704.1",,9,4122,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/891/665/GCF_002891665.1_ASM289166v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P30","SAMN03294471","PRJNA273583","GCA_002892205.1","Complete",4.32099,59.86,"chromosome:NZ_CP010617.1/CP010617.1; plasmid pP30_a:NZ_CP010618.1/CP010618.1; plasmid pP30_b:NZ_CP010619.1/CP010619.1; plasmid pP30_c:NZ_CP010620.1/CP010620.1; plasmid pP30_d:NZ_CP010621.1/CP010621.1; plasmid pP30_e:NZ_CP010622.1/CP010622.1",,6,3999,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/205/GCF_002892205.1_ASM289220v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P51","SAMN03294475","PRJNA273588","GCA_002891985.1","Complete",4.1245,59.9881,"chromosome:NZ_CP010623.1/CP010623.1; plasmid pP51_a:NZ_CP010624.1/CP010624.1; plasmid pP51_b:NZ_CP010625.1/CP010625.1; plasmid pP51_c:NZ_CP010626.1/CP010626.1; plasmid pP51_d:NZ_CP010627.1/CP010627.1; plasmid pP51_e:NZ_CP010628.1/CP010628.1",,6,3848,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/891/985/GCF_002891985.1_ASM289198v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P57","SAMN03294477","PRJNA273590","GCA_002892005.1","Complete",4.02145,60.0228,"chromosome:NZ_CP010668.1/CP010668.1; plasmid pP57_a:NZ_CP010669.1/CP010669.1; plasmid pP57_b:NZ_CP010670.1/CP010670.1; plasmid pP57_c:NZ_CP010671.1/CP010671.1; plasmid pP57_d:NZ_CP010672.1/CP010672.1",,5,3690,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/005/GCF_002892005.1_ASM289200v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P78","SAMN03294492","PRJNA273604","GCA_002891965.1","Complete",4.2687,59.9752,"chromosome:NZ_CP010629.1/CP010629.1; plasmid pP78_a:NZ_CP010630.1/CP010630.1; plasmid pP78_b:NZ_CP010631.1/CP010631.1; plasmid pP78_c:NZ_CP010632.1/CP010632.1; plasmid pP78_d:NZ_CP010633.1/CP010633.1; plasmid pP78_e:NZ_CP010634.1/CP010634.1; plasmid pP78_f:NZ_CP010635.1/CP010635.1",,7,3931,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/891/965/GCF_002891965.1_ASM289196v1"
"Phaeobacter inhibens DSM 17395","Bacteria;Pseudomonadota;Alphaproteobacteria","DSM 17395","SAMN02603623","PRJNA19355","GCA_000154765.2","Complete",4.22713,59.7869,"chromosome:NC_018290.1/CP002976.1; plasmid pPGA1_262:NC_018291.1/CP002977.1; plasmid pPGA1_65:NC_018288.1/CP002979.1; plasmid pPGA1_78:NC_018287.1/CP002978.1",,4,3871,"2012-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/765/GCA_000154765.2_ASM15476v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/765/GCF_000154765.2_ASM15476v2"
"Phaeobacter inhibens 2.10","Bacteria;Pseudomonadota;Alphaproteobacteria","2.1","SAMN02603622","PRJNA19353","GCA_000154745.2","Complete",4.16092,59.8003,"chromosome:NC_018286.1/CP002972.1; plasmid pPGA2_239:NC_018421.1/CP002973.1; plasmid pPGA2_71:NC_018422.1/CP002975.1; plasmid pPGA2_95:NC_018423.1/CP002974.1",,4,3811,"2012-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/745/GCA_000154745.2_ASM15474v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/745/GCF_000154745.2_ASM15474v2"
"Phaeobacter inhibens DSM 16374","Bacteria;Pseudomonadota;Alphaproteobacteria","DSM 16374","SAMN02440777","PRJNA88111","GCA_000473105.1","Scaffold",4.1309,60,,"AXBB01",6,3831,"2013-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/105/GCA_000473105.1_ASM47310v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/105/GCF_000473105.1_ASM47310v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","2-1005.fasta","SAMEA112157472","PRJEB57783","GCA_947489905.1","Contig",4.28172,59.7,,"CANLFJ01",28,0,"2023-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/489/905/GCF_947489905.1_2-1005.fasta"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P54","SAMN03294476","PRJNA273589","GCA_002892185.1","Complete",4.24808,59.8238,"chromosome:NZ_CP010650.1/CP010650.1; plasmid pP54_a:NZ_CP010651.1/CP010651.1; plasmid pP54_b:NZ_CP010652.1/CP010652.1; plasmid pP54_c:NZ_CP010653.1/CP010653.1; plasmid pP54_d:NZ_CP010654.1/CP010654.1; plasmid pP54_e:NZ_CP010655.1/CP010655.1",,6,3921,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/185/GCF_002892185.1_ASM289218v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","P88","SAMN03294495","PRJNA273607","GCA_002892085.1","Complete",4.84454,59.5472,"chromosome:NZ_CP010725.1/CP010725.1; plasmid pP88_a:NZ_CP010726.1/CP010726.1; plasmid pP88_b:NZ_CP010727.1/CP010727.1; plasmid pP88_c:NZ_CP010728.1/CP010728.1; plasmid pP88_d:NZ_CP010729.1/CP010729.1; plasmid pP88_e:NZ_CP010730.1/CP010730.1; plasmid pP88_f:NZ_CP010731.1/CP010731.1; plasmid pP88_g:NZ_CP010732.1/CP010732.1; plasmid pP88_h:NZ_CP010733.1/CP010733.1; plasmid pP88_i:NZ_CP010734.1/CP010734.1",,10,4492,"2018-01-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/085/GCF_002892085.1_ASM289208v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M628","SAMN20717740","PRJNA753157","GCA_025142755.1","Complete",4.30125,59.8109,"chromosome:NZ_CP081230.1/CP081230.1; plasmid unnamed1:NZ_CP081231.1/CP081231.1; plasmid unnamed2:NZ_CP081232.1/CP081232.1; plasmid unnamed3:NZ_CP081233.1/CP081233.1; plasmid unnamed4:NZ_CP081234.1/CP081234.1",,5,3975,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/755/GCF_025142755.1_ASM2514275v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M650","SAMN20718662","PRJNA753157","GCA_025143665.1","Complete",4.20264,59.818,"chromosome:NZ_CP081280.1/CP081280.1; plasmid unnamed1:NZ_CP081281.1/CP081281.1; plasmid unnamed2:NZ_CP081282.1/CP081282.1; plasmid unnamed3:NZ_CP081283.1/CP081283.1; plasmid unnamed4:NZ_CP081284.1/CP081284.1; plasmid unnamed5:NZ_CP081285.1/CP081285.1",,6,3877,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/665/GCF_025143665.1_ASM2514366v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M626","SAMN20717396","PRJNA753157","GCA_025142715.1","Complete",4.16355,59.8394,"chromosome:NZ_CP081221.1/CP081221.1; plasmid unnamed1:NZ_CP081222.1/CP081222.1; plasmid unnamed2:NZ_CP081223.1/CP081223.1; plasmid unnamed3:NZ_CP081224.1/CP081224.1",,4,3826,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/715/GCF_025142715.1_ASM2514271v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M644","SAMN20718529","PRJNA753157","GCA_025143325.1","Complete",4.28452,59.7983,"chromosome:NZ_CP081266.1/CP081266.1; plasmid unnamed1:NZ_CP081267.1/CP081267.1; plasmid unnamed2:NZ_CP081268.1/CP081268.1; plasmid unnamed3:NZ_CP081269.1/CP081269.1; plasmid unnamed4:NZ_CP081270.1/CP081270.1",,5,3937,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/143/325/GCF_025143325.1_ASM2514332v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","M625","SAMN20717395","PRJNA753157","GCA_025142695.1","Complete",4.28169,59.8873,"chromosome:NZ_CP081216.1/CP081216.1; plasmid unnamed1:NZ_CP081217.1/CP081217.1; plasmid unnamed2:NZ_CP081218.1/CP081218.1; plasmid unnamed3:NZ_CP081219.1/CP081219.1; plasmid unnamed4:NZ_CP081220.1/CP081220.1",,5,3938,"2022-09-12T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/142/695/GCF_025142695.1_ASM2514269v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","BS107","SAMN09780823","PRJNA485019","GCA_003443575.1","Complete",4.18814,59.8771,"chromosome:NZ_CP031948.1/CP031948.1; plasmid unnamed1:NZ_CP031949.1/CP031949.1; plasmid unnamed2:NZ_CP031950.1/CP031950.1; plasmid unnamed3:NZ_CP031951.1/CP031951.1",,4,3813,"2018-09-04T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/575/GCF_003443575.1_ASM344357v1"
"Phaeobacter inhibens","Bacteria;Pseudomonadota;Alphaproteobacteria","S4Sm","SAMN04305441","PRJNA304642","GCA_001559785.1","Scaffold",4.40349,59.8,,"LOHU01",80,4040,"2016-02-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/785/GCF_001559785.1_ASM155978v1"
